Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
05/02/2026,CHARLIZE THERON,1153,Especialidade varejo,PONTO UTIL,Única
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,AVATIM CHEIROS DA TERR,2/2
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,HNA*OBOTICARIO,2/2
12/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,PLAY TENNIS,2/3
13/01/2026,BRIAN TYLER,1114,Transporte,SERVICOSMIRANDA,Única
17/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única
19/01/2026,BRIAN TYLER,1114,Associação,IFOOD CLUB,Única
19/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
19/01/2026,BRIAN TYLER,1114,Serviços Profissionais,DISCORD* RYOMENSUKUNAB SA,Única
19/01/2026,BRIAN TYLER,1114,Serviços Profissionais,DISCORD* RYOMENSUKUNAB SA,Única
19/01/2026,BRIAN TYLER,1114,Departamento / Desconto,SORDI,Única
19/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
19/01/2026,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única
19/01/2026,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única
20/01/2026,BRIAN TYLER,1114,Transporte,SERVICOSMIRANDA,Única
20/01/2026,BRIAN TYLER,1114,Serviços pessoais,SPARKY S BARBER SHOP L,1/2
20/01/2026,BRIAN TYLER,1114,Serviços pessoais,SPARKY S BARBER SHOP L,Única
20/01/2026,BRIAN TYLER,1114,Transporte,DL*99 RIDE,Única
20/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
21/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
21/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
22/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
22/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
22/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,MERCADOLIVRE*FERNADA,1/3
22/01/2026,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,IFD*REFINARE PIZZARIA,Única
26/01/2026,BRIAN TYLER,1114,Entretenimento,MICROSOFT*XBOX GAME PA,Única
27/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
02/02/2026,BRIAN TYLER,1114,Elétrico,CURSOR USAGE MID  JAN  NE,Única
