Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela,Valor (em R$)
21/01/2026,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR SA,Única,3.96
21/01/2026,VIN DIESEL,1122,Empresa para empresa,SERV. NUVEM INTELBRAS,Única,20.5
22/01/2026,VIN DIESEL,1122,Empresa para empresa,AMAZON PRIME ALUGUEL,Única,32.9
28/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.16
28/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,33.25
30/01/2026,VIN DIESEL,1122,Seguro,HDI SEGUROS SA,Única,317.13
04/02/2026,VIN DIESEL,1122,Elétrico,CURSOR USAGE MID  JAN  NE,Única,109.94
04/02/2026,VIN DIESEL,1122,Elétrico,CURSOR USAGE MID  JAN  NE,Única,3.85
04/02/2026,VIN DIESEL,1122,Empresa para empresa,SHOPEE *CTRIMPORTS,Única,49.0
05/02/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única,1.47
05/02/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única,42.1
05/02/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.18
05/02/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,33.72
07/02/2026,VIN DIESEL,1122,-,"CURSOR, AI POWERED IDE",Única,-5.87
08/02/2026,VIN DIESEL,1122,Empresa serviços,GOOGLE YOUTUBEPREMIUM,Única,26.9
09/09/2025,CHARLIZE THERON,1153,Associação,SIMBIOSE,6/12,79.9
12/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,2/2,89.99
23/12/2025,CHARLIZE THERON,1153,Especialidade varejo,NOVO MUNDO,2/2,67.35
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,VANESSA VINDERFELTES P,2/2,225.0
